date, pm25, pm10, o3, no2, so2, co
2021/2/23, 153, 147, 33, 20, 3, 17
2021/2/24, 164, 142, 30, 17, 2, 11
2021/2/25, 175, 140, 27, 15, 3, 6
2021/2/26, 162, 128, 20, 14, 2, 11
2021/2/27, 134, 127, 31, 13, 2, 4
2021/2/28, 140, 110, 29, 14, 2, 5
2021/3/1, 133, 107, 22, 10, 3, 5
2021/3/2, 133, 135, 26, 15, 4, 10
2021/3/3, 157, 173, 29, 24, 4, 20
2021/3/4, 167, 128, 23, 14, 2, 5
2021/3/5, 155, 129, 28, 14, 3, 10
2021/3/6, 166, 190, 25, 16, 3, 10
2021/3/7, 184, 145, 22, 12, 3, 7
2021/3/8, 173, 173, 15, 12, 3, 6
2021/3/9, 183, 98, 25, 15, 3, 8
2021/3/10, 121, 153, 22, 15, 3, 10
2021/3/11, 180, 123, 11, 13, 2, 5
2021/3/12, 135, 154, 29, 13, 3, 8
2021/3/13, 180, 110, 25, 9, 3, 5
2021/3/14, 156, 159, 18, 12, 3, 5
2021/3/15, 172, 229, 12, 13, 3, 7
2021/3/16, 178, 220, 19, 14, 3, 9
2021/3/17, 175, 219, 22, 17, 3, 12
2021/3/18, 181, 173, 23, 15, 3, 7
2021/3/19, 167, 139, 26, 16, 3, 9
2021/3/20, 166, 141, 26, 16, 3, 8
2021/3/21, 159, 141, 16, 15, 3, 8
2021/3/22, 152, 172, 10, 12, 3, 4
2021/3/23, 140, 119, 23, 12, 3, 5
2021/3/24, 136, 80, 16, 10, 2, 5
2021/3/25, 108, 95, 21, 14, 3, 9
2021/3/26, 133, 115, 30, 18, 3, 10
2021/3/27, 152, 143, 31, 19, 2, 12
2021/3/28, 163, , , , , 
2021/3/30, 151, 107, 17, 11, 2, 5
2021/3/31, 70, 116, 18, 9, 3, 4
2020/10/1, 139, 103, 58, 11, 6, 6
2020/10/2, 150, 100, 62, 14, 6, 7
2020/10/3, 150, 102, 70, 15, 7, 7
2020/10/4, 151, 106, 57, 15, 7, 7
2020/10/5, 140, 112, 60, 16, 8, 11
2020/10/6, 149, 115, 34, 25, 7, 10
2020/10/7, 159, 111, 73, 25, 8, 7
2020/10/8, 160, 114, 31, 34, 7, 10
2020/10/9, 162, 119, 76, 26, 8, 7
2020/10/10, 168, 117, 78, 20, 9, 6
2020/10/11, 170, 170, 126, 33, 10, 10
2020/10/12, 196, 140, 40, 30, 7, 12
2020/10/13, 182, 146, 53, 36, 9, 18
2020/10/14, 193, 133, 51, 32, 8, 11
2020/10/15, 184, 129, 45, 39, 8, 14
2020/10/16, 180, 145, 68, 42, 8, 17
2020/10/17, 190, 123, 54, 31, 7, 9
2020/10/18, 166, 125, 48, 34, 7, 9
2020/10/19, 172, 123, 59, 35, 9, 13
2020/10/20, 164, 116, 47, 35, 7, 19
2020/10/21, 158, 164, 42, 49, 9, 20
2020/10/22, 204, 177, 73, 42, 9, 21
2020/10/23, 231, 168, 65, 39, 8, 19
2020/10/24, 220, 153, 82, 44, 8, 21
2020/10/25, 211, 170, 58, 41, 9, 20
2020/10/26, 224, 193, 50, 33, 8, 14
2020/10/27, 220, 163, 59, 44, 8, 20
2020/10/28, 215, 187, 59, 49, 8, 26
2020/10/29, 250, 192, 14, 43, 7, 17
2020/10/30, 254, 263, 4, 35, 7, 9
2020/10/31, 307, 239, 4, 33, 8, 10
2020/11/1, 294, 144, 4, 39, 8, 14
